,gf_led,led_size
ZONE-03,131|149,8|6
ZONE-27,261|132,
ZONE-28,462|134,
ZONE-29,706|140,
ZONE-32,1193|126,
ZONE-33,1438|130,
ZONE-34,1637|126,
ZONE-04,1778|157,
ZONE-05,1863|314,
ZONE-31,1112|280,
ZONE-26,519|232,
ZONE-30,1303|234,
ZONE-01,561|378,
ZONE-15,1426|385,
