,GF
ZONE-03,103|146|57|88
ZONE-06,160|146|507|88
ZONE-07,715|146|190|88
ZONE-08,90|27|123|84
ZONE-09,212|27|125|84
ZONE-10,336|27|125|84
ZONE-11,461|27|128|84
ZONE-12,589|27|120|84
ZONE-13,709|27|122|84
ZONE-14,867|27|88|84
ZONE-19,955|27|79|84
ZONE-20,1073|27|120|84
ZONE-21,1193|27|121|84
ZONE-22,1314|27|127|84
ZONE-23,1441|27|124|84
ZONE-24,1565|27|124|84
ZONE-25,1689|27|125|84
ZONE-17,996|146|190|87
ZONE-18,1233|146|507|87
ZONE-04,1742|146|62|87
ZONE-05,1803|270|73|33
