,GF
ZONE-13-128,266|114|80|38
ZONE-13-129,294|153|41|35
ZONE-14-131,927|112|78|38
ZONE-14-132,954|152|42|36
ZONE-15-134,1573|114|77|37
ZONE-15-135,1600|152|41|36
ZONE-16-137,289|496|78|39
ZONE-18-141,1555|497|80|38
ZONE-18-145,1583|536|41|36
