,GF
ZONE-11.1-121,336|150|41|35
ZONE-12.1-127,972|122|40|36
ZONE-18.1-06,1510|82|73|36
ZONE-04-84,305|504|77|39
ZONE-05-88,945|510|77|38
ZONE-06-89,1581|502|80|38
ZONE-04-86,331|544|41|37
