,GF
ZONE-13,782|599;811|608;796|631;767|622;782|599
ZONE-02,975|346;987|358;992|371;990|384;985|393;974|402;975|346
ZONE-09,904|335;925|331;937|333;937|376;903|376;904|335
ZONE-18,984|565;1023|560;1030|579;990|585;984|565
ZONE-22,923|545;954|544;976|542;990|588;958|592;924|593;923|545
ZONE-23,706|214;740|200;758|218;723|232;706|214
ZONE-25,735|193;794|174;824|220;775|234;735|193
ZONE-68,992|161;1051|173;1022|218;978|208;992|161
ZONE-67,1343|156;1403|172;1362|238;1332|229;1338|222;1308|211;1343|156
ZONE-71,588|333;663|345;657|376;614|375;614|356;582|355;588|333
ZONE-72,904|334;904|374;939|374;939|388;903|388;903|416;881|408;864|396;856|376;860|358;879|344;904|334
ZONE-69,873|540;923|543;923|593;878|594;880|587;860|581;873|540
ZONE-40,1288|464;1343|449;1370|493;1352|496;1338|476;1302|483;1288|464
ZONE-41,1311|481;1337|473;1352|495;1325|503;1311|481
ZONE-70,1058|83;1506|202;1451|233;1410|272;1387|307;1372|356;1376|418;1403|469;1437|506;1473|532;1509|553;1030|674;892|677;767|664;638|621;530|546;459|447;445|361;471|274;528|205;611|146;716|101;816|77;916|69;992|72;1058|83
