,GF
ZONE-55,1378|247;1531|247;1531|339;1371|339;1371|306;1378|306;1378|247
ZONE-54,1370|426;1531|426;1531|519;1378|519;1378|460;1370|460;1370|426
ZONE-65,1732|260;1770|260;1880|354;1880|489;1861|505;1734|505;1714|491;1714|275;1732|260
ZONE-66,1771|260;1861|260;1882|277;1882|352;1771|260
ZONE-01,344|248;371|243;395|242;396|250;417|253;418|247;467|258;463|265;484|273;488|265;535|284;488|374;488|393;535|482;487|500;482|492;463|500;467|506;426|519;398|521;369|519;344|514;323|506;306|500;293|493;298|489;280|476;274|481;234|433;243|430;237|412;228|416;223|393;226|359;230|337;237|325;245|330;256|313;250|310;263|294;283|279;296|270;303|266;339|328;324|340;312|354;307|371;305|389;306|397;330|395;329|377;332|366;343|354;351|342;367|338;372|344;363|348;352|358;345|365;340|377;341|397;350|411;363|419;381|427;402|427;402|418;420|419;433|406;442|392;442|371;431|354;425|351;403|351;402|341;389|340;344|248
ZONE-02,428|354;434|359;438|368;440|382;438|391;433|404;428|409;428|354
ZONE-03,401|401;427|400;427|408;418|416;402|416;401|401
ZONE-05,374|344;374|375;428|375;428|400;401|400;401|397;374|397;374|422;360|418;351|409;343|395;339|381;342|367;348|358;357|350;374|344
ZONE-08,334|269;350|262;384|331;366|335;334|269
ZONE-09,372|333;385|332;387|339;387|374;375|374;375|344;372|333
ZONE-10,151|183;193|219;208|206;237|241;266|227;278|245;306|232;328|269;335|269;366|333;353|338;342|349;331|360;326|383;329|394;307|395;307|375;310|358;318|347;328|335;338|327;303|264;280|276;265|287;249|307;259|312;245|329;238|324;231|338;225|360;222|381;226|409;235|409;242|427;235|432;246|453;260|470;275|484;280|477;297|489;293|496;310|503;330|510;351|518;372|520;398|521;432|518;458|509;466|505;462|498;483|491;486|501;536|482;499|407;518|420;537|425;555|425;574|418;586|407;593|393;595|375;587|361;573|348;566|344;588|300;485|264;482|270;464|263;467|258;417|244;416|253;396|252;396|244;358|245;352|220;381|217;382|210;397|208;400|168;440|172;438|176;464|181;472|162;518|177;523|169;544|178;540|183;609|208;612|199;634|206;633|214;676|232;682|224;724|239;721|247;743|255;748|245;769|254;763|262;769|263;760|279;742|274;739|278;723|272;704|310;738|324;730|345;726|369;726|397;733|427;740|449;753|479;772|501;758|505;764|513;699|534;696|524;661|537;684|584;513|642;452|655;396|662;389|661;388|637;414|636;413|616;445|613;440|590;472|583;467|566;436|570;429|544;401|548;371|545;338|541;331|548;309|541;285|585;242|565;219|550;198|529;181|512;172|505;175|499;151|466;76|491;65|463;54|419;50|383;55|334;69|291;86|256;105|230;131|201;151|183
ZONE-11,75|490;149|464;174|501;108|541;89|514;75|490
ZONE-12,169|505;182|521;201|538;224|553;245|567;264|576;283|586;258|645;237|637;216|628;198|618;179|604;165|595;149|580;125|563;107|539;169|505
ZONE-13,281|605;304|611;293|632;270|626;281|605
ZONE-14,289|581;310|587;340|592;366|597;367|621;355|623;354|639;364|640;363|663;337|658;306|653;275|647;258|640;289|581
ZONE-15,307|542;332|547;320|590;290|580;307|542
ZONE-16,335|541;354|545;368|548;365|598;346|596;321|591;335|541
ZONE-17,389|548;407|548;428|544;432|558;408|562;408|592;390|594;389|548
ZONE-18,436|568;465|565;470|581;439|585;436|568
ZONE-19,368|547;389|547;389|596;397|597;397|611;387|613;389|662;363|662;364|639;357|638;357|625;364|625;368|547
ZONE-20,535|282;588|302;566|345;551|340;535|342;514|347;496|360;535|282
ZONE-21,389|615;411|614;413|633;388|636;389|615
ZONE-22,408|564;432|560;445|611;397|615;397|594;408|595;408|564
ZONE-23,226|224;250|210;264|226;237|242;226|224
ZONE-24,211|205;233|188;251|209;223|223;211|205
ZONE-25,237|189;261|176;280|168;291|186;275|191;291|224;269|232;237|189
ZONE-26,275|192;292|185;312|228;292|235;281|244;271|234;290|222;275|192
ZONE-27,260|122;285|113;339|223;353|221;358|246;342|248;350|263;329|270;307|231;315|228;260|122
ZONE-28,319|183;399|177;397|210;378|209;379|217;340|221;319|183
ZONE-29,287|115;311|107;331|104;361|101;390|102;418|103;438|103;443|105;432|151;470|161;463|183;440|177;442|171;411|167;401|167;398|175;320|183;287|115
ZONE-30,442|104;470|108;500|115;518|122;494|167;459|157;433|154;442|104
ZONE-31,520|121;540|131;518|176;494|168;521|123
ZONE-32,541|131;617|157;595|203;540|184;544|175;522|167;541|131
ZONE-33,486|183;515|192;491|237;465|228;486|183
ZONE-34,533|199;668|246;645|292;511|245;533|199
ZONE-35,617|156;654|170;635|208;613|199;608|207;594|203;617|156
ZONE-36,653|168;723|192;703|232;680|223;676|232;632|215;653|168
ZONE-37,723|193;765|211;744|251;720|243;723|236;704|230;723|193
ZONE-38,767|208;811|223;798|233;789|242;773|258;771|260;762|259;767|253;748|246;767|208
ZONE-39,724|273;739|279;741|273;758|280;750|296;744|309;738|326;705|311;724|273
ZONE-40,666|470;706|455;728|495;714|502;702|477;673|487;666|470
ZONE-41,683|488;703|479;714|501;692|508;683|488
ZONE-42,759|505;770|501;789|521;805|535;813|541;766|558;747|518;763|511;759|505
ZONE-43,720|527;747|517;767|557;740|566;720|527
ZONE-44,699|535;721|526;740|568;683|586;668|552;702|544;699|535
ZONE-45,662|539;697|527;702|540;669|551;662|539
ZONE-82,150|183;173|167;196|151;234|134;258|123;281|168;251|180;227|191;204|207;193|218;150|183
ZONE-73,494|371;506|355;528|343;555|341;573|348;589|363;594|379;592|396;583|408;563|420;536|425;518|418;499|405;494|394;494|371
