,GF
ZONE-07.1-97,275|119|78|37
ZONE-07.1-98,301|158|42|35
ZONE-07.2-99,956|119|79|38
ZONE-07.2-100,984|159|41|36
ZONE-08.1-104,1601|117|78|38
ZONE-08.1-105,1629|156|41|38
ZONE-08.2-106,273|510|78|38
ZONE-08.2-107,301|549|40|38
ZONE-09.1-111,967|498|78|38
ZONE-09.1-112,995|537|41|35
ZONE-10.1-116,1603|497|77|39
ZONE-10.1-117,1629|536|42|36
