,gf_led,led_size
ZONE-91,1075|115,8|6
ZONE-94,131|170,
ZONE-95,414|154,
ZONE-97,815|153,
ZONE-100,1092|158,
ZONE-102,1377|151,
ZONE-103,1785|179,
