,GF
ZONE-13-02,205|112;235|99;266|92;294|92;333|97;361|104;378|113;205|112
ZONE-14-02,859|113;888|102;928|94;974|92;1006|99;1043|113;859|113
ZONE-15-02,1513|113;1540|101;1567|94;1596|93;1619|94;1647|99;1667|104;1695|117;1513|113
ZONE-16-02,225|497;262|481;303|475;337|476;364|481;392|488;401|496;225|497
ZONE-17-02,850|496;889|480;930|475;973|477;1010|485;1032|496;850|496
ZONE-18-02,1491|496;1516|484;1558|475;1599|476;1636|483;1666|492;1673|496;1491|496
ZONE-13-09,165|151;294|151;294|189;168|189;160|169;165|151
ZONE-14-09,823|150;953|150;953|188;827|188;821|171;823|150
ZONE-15-09,1471|152;1600|152;1600|189;1473|189;1466|172;1471|152
ZONE-16-09,187|534;316|534;316|573;191|573;183|552;187|534
ZONE-17-09,813|534;941|534;941|571;817|571;808|552;813|534
ZONE-18-09,1454|535;1583|535;1583|572;1456|572;1449|552;1454|535
ZONE-13-130,202|189;415|189;390|216;359|233;328|240;291|244;260|241;228|234;204|223;185|210;176|202;201|202;202|189
ZONE-14-133,861|189;1073|189;1056|213;1030|228;995|238;962|244;926|242;891|235;860|222;836|203;861|203;861|189
ZONE-15-136,1508|189;1721|189;1706|209;1673|228;1627|241;1583|244;1535|234;1501|217;1484|202;1508|202;1508|189
ZONE-16-138,225|571;316|571;316|535;357|535;357|572;363|572;363|619;329|625;294|624;263|620;236|611;214|598;202|584;224|584;225|571
ZONE-17-140,817|571;942|571;942|535;914|535;914|497;992|497;992|534;982|534;982|571;1063|571;1039|600;1007|613;975|623;935|625;895|622;860|612;829|592;817|571
ZONE-18-142,1455|573;1704|573;1671|604;1632|620;1592|626;1548|624;1507|615;1479|597;1455|573
ZONE-17-03,993|497;1029|497;1049|510;1069|535;992|535;993|497
ZONE-18-03,1633|496;1669|496;1692|512;1708|535;1633|535;1633|496
ZONE-18-04,1624|535;1707|535;1711|556;1704|573;1624|573;1624|535
