,gf_led,led_size
ZONE-02,378|122,8|6
ZONE-16,1440|126,
ZONE-03,128|190,
ZONE-06,426|170,
ZONE-07,792|164,
ZONE-08,153|45,
ZONE-09,284|44,
ZONE-10,391|42,
ZONE-11,523|43,
ZONE-12,646|46,
ZONE-13,758|48,
ZONE-14,902|71,
ZONE-19,993|72,
ZONE-20,1105|51,
ZONE-21,1217|51,
ZONE-22,1343|51,
ZONE-23,1473|44,
ZONE-24,1593|48,
ZONE-25,1716|51,
ZONE-17,1031|170,
ZONE-18,1355|182,
ZONE-04,1765|178,
ZONE-05,1821|282,
ZONE-01,553|429,
ZONE-15,1322|439,
