,GF
ZONE-07.1-02,207|120;231|111;256|102;281|100;303|100;327|100;346|104;370|111;388|119;207|120
ZONE-07.2-02,892|119;914|108;938|102;968|99;987|99;1015|100;1037|105;1057|110;1076|122;892|119
ZONE-08.1-02,1536|118;1556|110;1574|104;1598|98;1617|97;1641|96;1659|100;1682|104;1704|111;1716|117;1536|118
ZONE-08.2-02,208|510;228|502;250|495;274|492;300|489;330|493;348|497;368|503;387|510;208|510
ZONE-09.1-02,904|496;920|488;941|481;964|477;983|478;1004|476;1022|478;1043|482;1065|488;1082|496;904|496
ZONE-10.1-02,1538|497;1557|488;1579|481;1609|477;1635|476;1660|479;1677|483;1696|489;1709|492;1716|497;1538|497
ZONE-07.1-09,172|158;301|158;301|195;175|195;169|183;169|165;172|158
ZONE-07.2-09,854|158;984|158;984|196;858|196;850|179;852|165;854|158
ZONE-08.1-09,1500|157;1629|157;1629|194;1503|194;1497|181;1496|168;1500|157
ZONE-08.2-09,170|549;300|549;300|586;175|586;165|569;167|557;170|549
ZONE-09.1-09,864|537;994|537;994|574;870|574;861|560;862|540;864|537
ZONE-07.2-96,898|195;1106|195;1098|209;1081|220;1050|234;1012|246;977|249;946|246;911|236;888|225;868|210;897|210;898|195
ZONE-08.2-101,213|587;422|587;405|607;376|623;347|634;312|640;284|638;254|632;231|626;208|617;185|601;213|601;213|587
ZONE-09.1-108,908|573;1116|573;1104|591;1086|604;1066|614;1040|623;1014|626;978|628;938|622;914|612;892|599;880|589;907|589;908|573
ZONE-10.1-09,1500|536;1629|536;1629|572;1503|572;1496|557;1498|545;1500|536
ZONE-10.1-113,1543|572;1752|572;1736|593;1710|607;1686|618;1658|623;1631|625;1601|627;1571|620;1541|610;1524|597;1514|588;1543|588;1543|572
