,GF
ZONE-62,1130|247|98|46
ZONE-63,1130|293|98|46
ZONE-60,1228|247|40|46
ZONE-61,1228|293|40|46
ZONE-58,1268|247|50|46
ZONE-59,1268|293|50|46
ZONE-56,1318|247|60|58
ZONE-57,1318|305|52|34
ZONE-47,1130|426|98|46
ZONE-46,1130|472|98|46
ZONE-48,1228|426|40|46
ZONE-49,1228|472|40|46
ZONE-50,1268|426|50|46
ZONE-51,1268|472|50|46
ZONE-52,1318|426|52|34
ZONE-53,1318|460|60|58
ZONE-64,1655|336|59|93
ZONE-06,401|351|27|24
ZONE-07,388|340|13|35
