,GF
ZONE-01,23|233;103|233;103|313;746|313;746|233;955|233;955|560;23|560;23|233
ZONE-15,955|233;1156|233;1156|313;1804|313;1804|304;1876|304;1876|560;955|560;955|233
ZONE-02,24|111;829|111;829|27;867|27;867|111;955|111;955|233;905|233;905|146;715|146;715|233;746|233;746|313;103|313;103|233;667|233;667|146;103|146;103|233;24|233;24|111
ZONE-16,955|111;1035|111;1035|27;1073|27;1073|111;1876|111;1876|270;1803|270;1803|313;1155|313;1155|233;1186|233;1186|145;996|145;996|233;955|233;955|111
