,GF
ZONE-11.1-122,308|91;336|89;361|92;371|94;371|110;388|110;388|147;308|147;308|91
ZONE-11.1-09,207|148;335|148;335|185;210|185;203|172;203|154;207|148
ZONE-11.1-120,244|187;459|187;446|204;426|216;400|229;366|237;331|239;300|236;274|231;248|221;229|209;220|199;243|200;244|187
ZONE-12.1-09,842|121;972|121;972|159;845|159;838|143;840|129;842|121
ZONE-12.1-126,946|63;968|61;998|63;998|80;1025|80;1025|120;945|120;946|63
ZONE-18.1-09,1509|137;1574|137;1586|151;1608|154;1629|152;1638|140;1633|125;1657|116;1668|130;1668|147;1657|157;1644|164;1626|170;1605|172;1576|167;1558|159;1510|159;1509|137
ZONE-18.1-143,1512|75;1538|64;1572|55;1610|52;1644|56;1679|65;1709|79;1732|98;1749|122;1748|152;1736|176;1715|189;1696|203;1668|212;1639|219;1605|220;1569|218;1534|209;1501|195;1479|174;1465|141;1473|108;1493|84;1512|75
ZONE-04-09,202|545;332|545;332|581;205|581;198|565;202|545
ZONE-05-09,843|548;971|548;971|585;847|585;839|564;843|548
ZONE-06-09,1479|541;1610|541;1610|577;1484|577;1477|558;1479|541
ZONE-04-02,238|507;268|493;303|485;345|485;386|491;407|498;420|506;238|507
ZONE-05-02,881|508;905|499;929|492;956|489;984|489;1019|495;1040|502;1060|509;881|508
ZONE-06-02,1520|501;1537|493;1559|486;1586|482;1613|481;1644|484;1664|488;1687|494;1700|503;1520|501
ZONE-04-85,239|581;455|581;440|603;400|624;362|634;321|634;286|629;256|618;233|608;224|598;238|597;239|581
ZONE-05-87,887|585;973|585;973|549;1013|549;1013|585;1092|585;1071|610;1041|626;1013|636;982|640;939|638;902|629;877|616;859|600;887|600;887|585
ZONE-06-90,1527|579;1610|579;1610|540;1651|540;1651|579;1733|579;1714|602;1684|616;1655|629;1626|632;1576|632;1536|620;1501|595;1527|595;1527|579
