,GF
ZONE-26,27|111;27|111;103|111;103|215;853|215;853|111;958|111;958|350;835|350;834|256;27|256;27|111
ZONE-30,958|111;1067|111;1067|215;1817|215;1817|111;1893|111;1893|256;1082|256;1082|350;958|350;958|111
ZONE-01,27|256;835|256;835|350;958|350;958|639;27|639;27|256
ZONE-15,1162|256;1892|256;1892|300;1824|300;1824|339;1892|339;1892|639;958|639;958|350;1162|350;1162|256
