,GF
ZONE-144,422|128;494|136;555|156;605|189;642|232;654|277;643|322;617|360;571|393;531|410;486|422;435|429;386|428;338|418;291|402;259|384;231|364;206|333;191|301;191|262;204|225;226|200;255|175;301|151;347|137;384|130;422|128
ZONE-145,1373|127;1437|133;1481|146;1520|165;1558|194;1584|227;1597|260;1597|298;1583|331;1563|357;1532|381;1498|399;1460|412;1417|423;1381|426;1337|425;1300|419;1256|408;1221|394;1189|374;1160|345;1138|308;1135|264;1148|224;1171|194;1204|172;1231|155;1265|140;1295|132;1328|126;1373|127
