,gf_led,led_size
ZONE-11.1-121,349|163,12|6
ZONE-12.1-127,987|134,
ZONE-18.1-06,1543|96,
ZONE-04-84,343|515,
ZONE-05-88,977|521,
ZONE-06-89,1615|512,
ZONE-04-86,351|557,
ZONE-11.1-122,335|118,
ZONE-11.1-09,256|160,
ZONE-11.1-120,334|205,
ZONE-12.1-09,894|133,
ZONE-12.1-126,981|90,
ZONE-18.1-09,1540|143,
ZONE-18.1-143,1626|90,
ZONE-04-09,266|560,
ZONE-05-09,907|559,
ZONE-06-09,1531|552,
ZONE-04-02,325|492,
ZONE-05-02,965|493,
ZONE-06-02,1596|486,
ZONE-04-85,333|600,
ZONE-05-87,986|601,
ZONE-06-90,1613|589,
