,GF
ZONE-02-78,314|112|79|40
ZONE-03-80,977|112|79|40
ZONE-0.1-75,1586|120|79|40
ZONE-01.1-76,331|514|79|40
ZONE-06.1-91,974|510|79|40
ZONE-06.2-93,1588|511|79|40
ZONE-02-80,340|152|43|38
ZONE-0.1-74,1614|159|42|37
ZONE-06.1-92,1000|550|41|37
ZONE-06.2-94,1616|552|41|36
