,gf_led,led_size
ZONE-02-78,344|132,12|6
ZONE-03-80,1012|126,
ZONE-0.1-75,1610|131,
ZONE-01.1-76,364|532,
ZONE-06.1-91,1009|526,
ZONE-06.2-93,1618|523,
ZONE-02-80,354|165,
ZONE-0.1-74,1626|171,
ZONE-06.1-92,1017|563,
ZONE-06.2-94,1628|562,
ZONE-02-02,327|95,
ZONE-03-02,998|96,
ZONE-0.1-02,1607|104,
ZONE-01.1-02,344|497,
ZONE-06.1-02,994|495,
ZONE-06.2-02,1609|496,
ZONE-02-09,262|164,
ZONE-03-09,932|160,
ZONE-0.1-09,1542|168,
ZONE-01.1-09,280|566,
ZONE-06.1-09,930|559,
ZONE-06.2-09,1543|558,
ZONE-02-79,330|218,
ZONE-03-81,990|219,
ZONE-03-83,1077|198,
ZONE-01.1-77,348|617,
ZONE-06.2-90,1611|604,
