,gf_led,led_size
ZONE-13,787|610,12|6
ZONE-02,981|367,
ZONE-09,918|353,
ZONE-18,998|566,
ZONE-22,944|564,
ZONE-23,731|216,
ZONE-25,775|202,
ZONE-68,1012|180,
ZONE-67,1348|198,
ZONE-71,636|357,
ZONE-72,876|368,
ZONE-69,898|558,
ZONE-40,1324|465,
ZONE-41,1331|487,
ZONE-70,1132|377,
