,GF
ZONE-08-102,956|119|79|38
ZONE-08-103,984|159|41|36
ZONE-07-95,296|122|77|38
ZONE-09-109,1581|122|79|39
ZONE-09-110,1608|161|42|38
ZONE-10-114,282|504|79|38
ZONE-10-115,310|544|41|36
ZONE-11-118,938|503|78|38
ZONE-11-119,965|542|41|37
ZONE-12-123,1595|543|42|36
ZONE-12-124,1569|505|77|38
