,gf_led,led_size
ZONE-07.1-97,314|137,12|6
ZONE-07.1-98,314|169,
ZONE-07.2-99,992|134,
ZONE-07.2-100,1003|172,
ZONE-08.1-104,1636|130,
ZONE-08.1-105,1647|175,
ZONE-08.2-106,311|523,
ZONE-08.2-107,317|565,
ZONE-09.1-111,1001|505,
ZONE-09.1-112,1012|554,
ZONE-10.1-116,1634|506,
ZONE-10.1-117,1647|551,
ZONE-07.1-02,288|100,
ZONE-07.2-02,978|104,
ZONE-08.1-02,1619|100,
ZONE-08.2-02,294|492,
ZONE-09.1-02,985|480,
ZONE-10.1-02,1616|481,
ZONE-07.1-09,230|173,
ZONE-07.2-09,928|167,
ZONE-08.1-09,1554|167,
ZONE-08.2-09,225|560,
ZONE-09.1-09,933|548,
ZONE-07.2-96,978|216,
ZONE-08.2-101,304|611,
ZONE-09.1-108,986|592,
ZONE-10.1-09,1556|549,
ZONE-10.1-113,1612|598,
