,gf_led,led_size
ZONE-08-102,992|134,12|6
ZONE-08-103,1003|172,
ZONE-08-02,978|104,
ZONE-08-09,928|167,
ZONE-08-101,978|216,
ZONE-07-95,327|137,
ZONE-09-109,1613|136,
ZONE-09-110,1624|173,
ZONE-10-114,316|515,
ZONE-10-115,328|559,
ZONE-11-118,973|517,
ZONE-11-119,981|556,
ZONE-12-123,1611|556,
ZONE-12-124,1601|520,
ZONE-07-02,316|108,
ZONE-09-02,1600|108,
ZONE-10-02,304|487,
ZONE-11-02,956|488,
ZONE-12-02,1583|489,
ZONE-07-09,258|174,
ZONE-09-09,1542|175,
ZONE-10-09,226|554,
ZONE-11-09,892|552,
ZONE-12-09,1527|555,
ZONE-07-96,325|215,
ZONE-09-108,1603|220,
ZONE-10-113,301|597,
ZONE-12-125,1580|591,
