73|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:02:23 PM Wednesday, 02-June-2021 L03D004
74|TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:05:14 PM Wednesday, 02-June-2021 L03D004
75|ACKED TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:05:20 PM Wednesday, 02-June-2021 L03D004
76|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:05:32 PM Wednesday, 02-June-2021 L03D004
77|SYSTEM RESET|  02:16:01 PM Wednesday, 02-June-2021 
78|TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:16:07 PM Wednesday, 02-June-2021 L03D004
79|ACKED TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:16:13 PM Wednesday, 02-June-2021 L03D004
80|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:16:21 PM Wednesday, 02-June-2021 L03D004
81|TROUBLE|SYSTEM INITIALIZATION|  02:16:52 PM Wednesday, 02-June-2021 
82|CLEARED TROUBLE|SYSTEM INITIALIZATION|  02:17:01 PM Wednesday, 02-June-2021 
83|FIRE ALARM|FIRE ALARM|FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:17:11 PM Wednesday, 02-June-2021 L03M004
84|ALARM|ALARM|ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:21:16 PM Wednesday, 02-June-2021 L03M004
85|ACKNOWLEDGED ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:21:28 PM Wednesday, 02-June-2021 L03M004
86|CLEARED ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:21:39 PM Wednesday, 02-June-2021 L03M004
87|SYSTEM RESET|  02:21:50 PM Wednesday, 02-June-2021 
88|CLEARED ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:22:13 PM Wednesday, 02-June-2021 L03M004
89|ALARM|ALARM|ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:22:20 PM Wednesday, 02-June-2021 L03M004
90|SUPERVISORY|Module L03M002|TRACK SUPERV|  02:23:53 PM Wednesday, 02-June-2021 L03M002
91|SYSTEM NORMAL|  02:24:15 PM Wednesday, 02-June-2021 
92|TROUBL |Sys Initialization|  10:49:17 AM Thursday, 03-June-2021 
93|CLR TB |Sys Initialization|  10:49:34 AM Thursday, 03-June-2021 
94|SYSTEM RESET|  10:49:44 AM Thursday, 03-June-2021 
95|TROUBL |GROUND FAULT|  10:57:17 AM Thursday, 03-June-2021 
96|SIGNAL RESOUND|  10:57:36 AM Thursday, 03-June-2021 
97|CLR TB |GROUND FAULT|  10:57:46 AM Thursday, 03-June-2021 
98|TROUBL |NCM COMM FAILURE|  10:58:05 AM Thursday, 03-June-2021 
99|CLR TB |NCM COMM FAILURE|  10:58:18 AM Thursday, 03-June-2021 
100|TROUBL SMOKE(PHOTO) TOILET| GF TO 02|  10:58:36 AM Thursday, 03-June-2021 1D007
101|CLR TB SMOKE(PHOTO) TOILET| GF TO 02|  10:58:50 AM Thursday, 03-June-2021 1D007
102|TROUBL |BATTERY|  11:00:14 AM Thursday, 03-June-2021 
103|CLR TB |BATTERY|  11:00:23 AM Thursday, 03-June-2021 
104|ACTIVE TRACK SUPERV MODULE ADDR 1M006|Z004|  11:00:37 AM Thursday, 03-June-2021 1M006
105|CLR ACTTRACK SUPERV MODULE ADDR 1M006|Z004|  11:00:45 AM Thursday, 03-June-2021 1M006
106|ACTIVE WATERFLOW_S|MODULE ADDR 1M006|Z004|  11:00:55 AM Thursday, 03-June-2021 1M006
107|SYSTEM RESET|  11:01:23 AM Thursday, 03-June-2021 
108|ALARM: WATERFLOW|MODULE ADDR 1M006|Z004|  11:01:42 AM Thursday, 03-June-2021 1M006
109| ACKNOWLEDGE|  11:02:12 AM Thursday, 03-June-2021 
110|SYSTEM RESET|  11:02:24 AM Thursday, 03-June-2021 
111|SYSTEM NORMAL|  11:02:36 AM Thursday, 03-June-2021 
112|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  11:02:54 AM Thursday, 03-June-2021 1M006
113|SYSTEM RESET|  11:03:03 AM Thursday, 03-June-2021 
114|SYSTEM RESET|  11:04:42 AM Thursday, 03-June-2021 
115|TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  11:04:52 AM Thursday, 03-June-2021 L03D004
116|ACKED TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  11:05:07 AM Thursday, 03-June-2021 L03D004
117|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  11:05:22 AM Thursday, 03-June-2021 L03D004
118|TROUBLE|SYSTEM INITIALIZATION|  11:06:46 AM Thursday, 03-June-2021 
119|CLEARED TROUBLE|SYSTEM INITIALIZATION|  11:06:53 AM Thursday, 03-June-2021 
120|TROUBLE|SYSTEM INITIALIZATION|  11:07:02 AM Thursday, 03-June-2021 
121|CLEARED TROUBLE|SYSTEM INITIALIZATION|  11:07:09 AM Thursday, 03-June-2021 
122|SUPERVISORY|Module L03M002|TRACK SUPERV|  11:08:38 AM Thursday, 03-June-2021 L03M002
123|CLEARED SUPERVISORY|Module L03M002|TRACK SUPERV|  11:08:47 AM Thursday, 03-June-2021 L03M002
124|SYSTEM NORMAL|  11:09:01 AM Thursday, 03-June-2021 
125|TROUBLE|BATTERY LOW|Module L03M157|POWER MONITR|  11:10:04 AM Thursday, 03-June-2021 L03M157
126|FIRE ALARM|FIRE ALARM|FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  01:42:07 PM Thursday, 03-June-2021 L03M004
127|FIRE ALARM|FIRE ALARM|FIRE ALARM|Module L03M002|WATERFLOW|  01:42:28 PM Thursday, 03-June-2021 L03M002
128|SYSTEM RESET|  01:42:44 PM Thursday, 03-June-2021 
129|SYSTEM NORMAL|  01:43:03 PM Thursday, 03-June-2021 
130|SYSTEM NORMAL|  01:43:04 PM Thursday, 03-June-2021 
131|TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  01:43:24 PM Thursday, 03-June-2021 L03D004
