"ATC-ALL FLOOR-PANEL-1 - LOOPS 1,2,3,4,5,6,7"|G100,,,,,,,,,,,,,
ADDRESS ID,AREA ID,ADDRESS,ADDRESS LABEL,ADDRESS LABEL,GAS STAGES,,,,,,,,
47,ZONE-32,N105L01D083,G100-GF-Y036-0101-LSD-083,DE ROOM 1,,,,,,,N105L01D083,1,
48,ZONE-32,N105L01D082,G100-GF-Y036-0101-LSD-082,DE ROOM 1,,,,,,,N105L01D082,1,
49,ZONE-32,N105L01M025,G100-GF-Y036-0101-MM-025,DE ROOM 1,,,,,,,N105L01M025,1,
50,ZONE-32,N105L01M026,G100-GF-Y036-0101-MM-026,DE ROOM 1,,,,,,,N105L01M026,1,
51,ZONE-34,N105L01M027,G100-GF-Y036-0101-MM-027,UPS 01,,,,,,,N105L01M027,1,
52,ZONE-34,N105L01D119,G100-GF-Y036-0101-SD-119,UPS 01,,,,,,,N105L01D119,1,
53,ZONE-34,N105L01D120,G100-GF-Y036-0101-SD-120,UPS 01,,,,,,,N105L01D120,1,
54,ZONE-10,N105L01D016,G100-GF-Y036-0101-SD-016,CIRCULATION,,,,,,,N105L01D016,1,
55,ZONE-10,N105L01D017,G100-GF-Y036-0101-SD-017,CIRCULATION,,,,,,,N105L01D017,1,
56,ZONE-33,N105L01D121,G100-GF-Y036-0101-SD-121,BUILDING DISTRIBUTOR,,,,,,,N105L01D121,1,
57,ZONE-33,N105L01M031,G100-GF-Y036-0101-MM-031,BUILDING DISTRIBUTOR,,,,,,,N105L01M031,1,
58,ZONE-31,N105L01M035,G100-GF-Y036-0101-MM-035,ANS EQUIPMENT STORE,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M035,1,
59,ZONE-31,N105L01M036,G100-GF-Y036-0101-MM-036,ANS EQUIPMENT STORE,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M036,1,
60,ZONE-31,N105L01M037,G100-GF-Y036-0101-MM-037,ANS EQUIPMENT STORE,"GS-GD,GAS DISCHARGE",,,,,,N105L01M037,1,
61,ZONE-31,N105L01M038,G100-GF-Y036-0101-MM-038,ANS EQUIPMENT STORE,"GS-T,TROUBLE",,,,,,N105L01M038,1,
62,ZONE-10,N105L01D018,G100-GF-Y036-0101-SD-018,CIRCULATION,,,,,,,N105L01D018,1,
63,ZONE-10,N105L01D019,G100-GF-Y036-0101-SD-019,CIRCULATION,,,,,,,N105L01D019,1,
64,ZONE-10,N105L01M110,G100-GF-Y036-0101-MM-110,ANS WORKSHOP,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M110,1,
65,ZONE-10,N105L01M111,G100-GF-Y036-0101-MM-111,ANS WORKSHOP,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M111,1,
66,ZONE-10,N105L01M112,G100-GF-Y036-0101-MM-112,ANS WORKSHOP,"GS-GD,GAS DISCHARGE",,,,,,N105L01M112,1,
67,ZONE-10,N105L01M113,G100-GF-Y036-0101-MM-113,ANS WORKSHOP,"GS-T,TROUBLE",,,,,,N105L01M113,1,
68,ZONE-30,N105L01D084,G100-GF-Y036-0101-SD-084,BREAK ROOM,,,,,,,N105L01D084,1,
69,ZONE-30,N105L01D085,G100-GF-Y036-0101-HD-085,BREAK ROOM,,,,,,,N105L01D085,1,
70,ZONE-29,N105L01M043,G100-GF-Y036-0101-MM-043,ANS TECHNICAL ROOM,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M043,1,
71,ZONE-29,N105L01M044,G100-GF-Y036-0101-MM-044,ANS TECHNICAL ROOM,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M044,1,
72,ZONE-29,N105L01M045,G100-GF-Y036-0101-MM-045,ANS TECHNICAL ROOM,"GS-GD,GAS DISCHARGE",,,,,,N105L01M045,1,
73,ZONE-29,N105L01M046,G100-GF-Y036-0101-MM-046,ANS TECHNICAL ROOM,"GS-T,TROUBLE",,,,,,N105L01M046,1,
74,ZONE-29,N105L01D086,G100-GF-Y036-0101-LSD-086,ANS TECHNICAL ROOM,,,,,,,N105L01D086,1,
75,ZONE-29,N105L01D087,G100-GF-Y036-0101-LSD-087,ANS TECHNICAL ROOM,,,,,,,N105L01D087,1,
76,ZONE-29,N105L01D088,G100-GF-Y036-0101-LSD-088,ANS TECHNICAL ROOM,,,,,,,N105L01D088,1,
77,ZONE-29,N105L01D089,G100-GF-Y036-0101-LSD-089,ANS TECHNICAL ROOM,,,,,,,N105L01D089,1,
78,ZONE-10,N105L01D022,G100-GF-Y036-0101-SD-022,CIRCULATION,,,,,,,N105L01D022,1,
79,ZONE-10,N105L01D023,G100-GF-Y036-0101-SD-023,CIRCULATION,,,,,,,N105L01D023,1,
