LOAD CENTRE - A  GENERATOR PLANT| C110 ,,,,,,,,,,,,,,
ADDRESS ID,AREA ID,AL01DL01DRESS,ADDRESS LABEL, ROOM NO / ADDRESS LABEL, ROOM NO,ADDRESS LABEL,INTERFACE,,,,,,,
37,ZONE-14,N171L01M024,C110-GF-Y036-0201-MM-024,02-GF-TR-07 / EARTH,02-GF-TR-07,EARTH,,,,,,,,
38,ZONE-14,N171L01M025,C110-GF-Y036-0201-MM-025,02-GF-TR-07 / EARTH,02-GF-TR-07,EARTH,,,,,,,,
39,ZONE-14,N171L01M026,C110-GF-Y036-0201-MM-026,02-GF-TR-07 / EARTH,02-GF-TR-07,EARTH,,,,,,,,
40,ZONE-19,N171L01M027,C110-GF-Y036-0201-MM-027,02-GF-TR-08 / EARTH,02-GF-TR-08,EARTH,,,,,,,,
41,ZONE-19,N171L01M028,C110-GF-Y036-0201-MM-028,02-GF-TR-08 / EARTH,02-GF-TR-08,EARTH,,,,,,,,
42,ZONE-19,N171L01M029,C110-GF-Y036-0201-MM-029,02-GF-TR-08 / EARTH,02-GF-TR-08,EARTH,,,,,,,,
43,ZONE-19,N171L01M030,C110-GF-Y036-0201-MM-030,02-GF-TR-08 / EARTH,02-GF-TR-08,EARTH,,,,,,,,
44,ZONE-02,N171L01D006,C110-GF-Y036-0201-SD-006,02-GF-CI-01 / CIRCULATION,02-GF-CI-01,CIRCULATION,,,,,,,,
45,ZONE-02,N171L01M032,C110-GF-Y036-0201-RM-032,02-GF-CI-01 / CIRCULATION,02-GF-CI-01,CIRCULATION,,,,,,,,
46,ZONE-17,N171L01M035,C110-GF-Y036-0201-MM-035,02-GF-TR-16 / PANEL ROOM,02-GF-TR-16,PANEL ROOM,,,,,,,,
47,ZONE-17,N171L01M036,C110-GF-Y036-0201-MM-036,02-GF-TR-16 / PANEL ROOM,02-GF-TR-16,PANEL ROOM,,,,,,,,
48,ZONE-17,N171L01M037,C110-GF-Y036-0201-MM-037,02-GF-TR-16 / PANEL ROOM,02-GF-TR-16,PANEL ROOM,,,,,,,,
49,ZONE-17,N171L01M038,C110-GF-Y036-0201-MM-038,02-GF-TR-16 / PANEL ROOM,02-GF-TR-16,PANEL ROOM,,,,,,,,
50,ZONE-17,N171L01M039,C110-GF-Y036-0201-MM-039,02-GF-TR-16 / PANEL ROOM,02-GF-TR-16,PANEL ROOM,,,,,,,,
51,ZONE-17,N171L01M040,C110-GF-Y036-0201-MM-040,02-GF-TR-16 / PANEL ROOM,02-GF-TR-16,PANEL ROOM,,,,,,,,
52,ZONE-15,N171L01M041,C110-GF-Y036-0201-RM-041,02-GF-TR-27 / GENERATOR HALL,02-GF-TR-27,GENERATOR HALL,,,,,,,,
53,ZONE-15,N171L01M042,C110-GF-Y036-0201-RM-042,02-GF-TR-27 / GENERATOR HALL,02-GF-TR-27,GENERATOR HALL,,,,,,,,
54,ZONE-01,N171L01M043,C110-GF-Y036-0201-RM-043,02-GF-TR-28 / GENERATOR HALL,02-GF-TR-28,GENERATOR HALL,,,,,,,,
55,ZONE-01,N171L01M044,C110-GF-Y036-0201-RM-044,02-GF-TR-28 / GENERATOR HALL,02-GF-TR-28,GENERATOR HALL,,,,,,,,
56,ZONE-01,N171L01M045,C110-GF-Y036-0201-RM-045,02-GF-TR-28 / GENERATOR HALL,02-GF-TR-28,GENERATOR HALL,,,,,,,,
57,ZONE-16,N171L01M046,C110-GF-Y036-0201-MM-046,02-GF-CI-03 / CIRCULATION,02-GF-CI-03,CIRCULATION,,,,,,,,
58,ZONE-16,N171L01M047,C110-GF-Y036-0201-MM-047,02-GF-CI-03 / CIRCULATION,02-GF-CI-03,CIRCULATION,,,,,,,,
59,ZONE-16,N171L01D007,C110-GF-Y036-0201-SD-007,02-GF-CI-03 / CIRCULATION,02-GF-CI-03,CIRCULATION,,,,,,,,
